County,County Seat,License Plate Prefix
Anaconda-Deer Lodge,Anaconda,30
Beaverhead,Dillon,18
Big Horn,Hardin,22
Blaine,Chinook,24
Broadwater,Townsend,43
Butte-Silver Bow,Butte,1
Carbon,Red Lodge,10
Carter,Ekalaka,42
Cascade,Great Falls,2
Chouteau,Fort Benton,19
Custer,Miles City,14
Daniels,Scobey,37
Dawson,Glendive,16
Fallon,Baker,39
Fergus,Lewistown,8
Flathead,Kalispell,7
Gallatin,Bozeman,6
Garfield,Jordan,50
Glacier,Cut Bank,38
Golden Valley,Ryegate,53
Granite,Philipsburg,46
Hill,Havre,12
Jefferson,Boulder,51
Judith Basin,Stanford,36
Lake,Polson,15
Lewis & Clark,Helena,5
Liberty,Chester,48
Lincoln,Libby,56
Madison,Virginia City,25
McCone,Circle,41
Meagher,White Sulphur Springs,47
Mineral,Superior,54
Missoula,Missoula,4
Musselshell,Roundup,23
Park,Livingston,49
Petroleum,Winnett,55
Phillips,Malta,11
Pondera,Conrad,26
Powder River,Broadus,9
Powell,Deer Lodge,28
Prairie,Terry,45
Ravalli,Hamilton,13
Richland,Sidney,27
Roosevelt,Wolf Point,17
Rosebud,Forsyth,29
Sanders,Thompson Falls,35
Sheridan,Plentywood,34
Stillwater,Columbus,32
Sweet Grass,Big Timber,40
Teton,Choteau,31
Toole,Shelby,21
Treasure,Hysham,33
Valley,Glasgow,20
Wheatland,Harlowton,44
Wibaux,Wibaux,52
Yellowstone,Billings,3
